scope,display_name,base_species,species,method,location,period,chance,requirement,evolution_from
species,SPECIES_BULBASAUR,SPECIES_BULBASAUR,SPECIES_BULBASAUR,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_IVYSAUR,SPECIES_IVYSAUR,SPECIES_IVYSAUR,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_BULBASAUR
species,SPECIES_VENUSAUR,SPECIES_VENUSAUR,SPECIES_VENUSAUR,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_IVYSAUR
species,SPECIES_CHARMANDER,SPECIES_CHARMANDER,SPECIES_CHARMANDER,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_CHARMELEON,SPECIES_CHARMELEON,SPECIES_CHARMELEON,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_CHARMANDER
species,SPECIES_CHARIZARD,SPECIES_CHARIZARD,SPECIES_CHARIZARD,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_CHARMELEON
species,SPECIES_SQUIRTLE,SPECIES_SQUIRTLE,SPECIES_SQUIRTLE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_WARTORTLE,SPECIES_WARTORTLE,SPECIES_WARTORTLE,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_SQUIRTLE
species,SPECIES_BLASTOISE,SPECIES_BLASTOISE,SPECIES_BLASTOISE,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_WARTORTLE
species,SPECIES_CATERPIE,SPECIES_CATERPIE,SPECIES_CATERPIE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_METAPOD,SPECIES_METAPOD,SPECIES_METAPOD,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_BUTTERFREE,SPECIES_BUTTERFREE,SPECIES_BUTTERFREE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_WEEDLE,SPECIES_WEEDLE,SPECIES_WEEDLE,wild (preserved v2.1.1),see Wild Encounters,varies,varies,none,
species,SPECIES_KAKUNA,SPECIES_KAKUNA,SPECIES_KAKUNA,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_WEEDLE
species,SPECIES_BEEDRILL,SPECIES_BEEDRILL,SPECIES_BEEDRILL,evolution,same save,any,guaranteed,see Evolution Changes,SPECIES_KAKUNA
